starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	2	2
Tue May 13 19:50:48 2014	1399981848	0	2	3	2
Tue May 13 19:50:48 2014	1399981848	0	2	3	2
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	2	3	2
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	3	3
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	4	4	3
Tue May 13 19:50:48 2014	1399981848	0	4	4	3
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	3	4	3
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	4	4
Tue May 13 19:50:48 2014	1399981848	0	4	5	4
Tue May 13 19:50:48 2014	1399981848	0	4	5	4
Tue May 13 19:50:48 2014	1399981848	0	5	5	4
Tue May 13 19:50:48 2014	1399981848	0	5	5	4
Tue May 13 19:50:48 2014	1399981848	0	4	5	4
Tue May 13 19:50:48 2014	1399981848	1	3	5	3
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	1	4	5	4
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
Tue May 13 19:50:48 2014	1399981848	0	5	5	5
