starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	2	2	2
Tue May 13 19:57:02 2014	1399982222	0	2	2	2
Tue May 13 19:57:03 2014	1399982223	0	7	7	7
Tue May 13 19:57:03 2014	1399982223	0	12	12	11
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:03 2014	1399982223	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:03 2014	1399982223	0	16	16	16
Tue May 13 19:57:03 2014	1399982223	0	16	16	16
Tue May 13 19:57:03 2014	1399982223	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	16	16
Tue May 13 19:57:02 2014	1399982222	0	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	16	17	16
Tue May 13 19:57:03 2014	1399982223	0	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	1	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	1	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	1	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	1	17	17	17
Tue May 13 19:57:03 2014	1399982223	0	17	17	17
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	1	16	17	16
Tue May 13 19:57:03 2014	1399982223	1	16	17	16
Tue May 13 19:57:02 2014	1399982222	0	17	17	17
Tue May 13 19:57:03 2014	1399982223	1	17	18	17
