starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:49:12 2014	1399981752	0	0	0	0
Tue May 13 19:49:11 2014	1399981751	0	0	0	0
Tue May 13 19:49:12 2014	1399981752	0	0	1	0
Tue May 13 19:49:11 2014	1399981751	0	0	1	0
Tue May 13 19:49:11 2014	1399981751	0	0	1	0
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:11 2014	1399981751	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	1	1
Tue May 13 19:49:12 2014	1399981752	0	1	2	1
Tue May 13 19:49:11 2014	1399981751	0	1	2	1
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	1	2	1
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	1	2	1
Tue May 13 19:49:11 2014	1399981751	0	2	2	1
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	1	2	1
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	1
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:12 2014	1399981752	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
Tue May 13 19:49:11 2014	1399981751	0	2	2	2
