starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:55:10 2014	1399982110	0	1	1	1
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	2	2	2
Tue May 13 19:55:10 2014	1399982110	0	3	3	2
Tue May 13 19:55:10 2014	1399982110	3	9	11	9
Tue May 13 19:55:10 2014	1399982110	3	9	12	9
Tue May 13 19:55:10 2014	1399982110	3	9	12	9
Tue May 13 19:55:10 2014	1399982110	3	10	12	9
Tue May 13 19:55:10 2014	1399982110	2	11	13	11
Tue May 13 19:55:10 2014	1399982110	2	12	13	12
Tue May 13 19:55:10 2014	1399982110	3	11	13	10
Tue May 13 19:55:10 2014	1399982110	2	12	13	12
Tue May 13 19:55:10 2014	1399982110	3	11	14	11
Tue May 13 19:55:10 2014	1399982110	2	12	14	11
Tue May 13 19:55:10 2014	1399982110	2	12	14	12
Tue May 13 19:55:10 2014	1399982110	3	11	14	11
Tue May 13 19:55:10 2014	1399982110	2	12	14	12
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	2	12	14	12
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	3	11	14	11
Tue May 13 19:55:10 2014	1399982110	2	12	14	12
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	0	14	14	14
Tue May 13 19:55:10 2014	1399982110	2	13	14	13
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	2	12	14	12
Tue May 13 19:55:10 2014	1399982110	3	12	14	11
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	1	13	14	13
Tue May 13 19:55:10 2014	1399982110	1	14	14	13
Tue May 13 19:55:10 2014	1399982110	0	14	14	14
Tue May 13 19:55:10 2014	1399982110	1	14	15	13
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	3	12	15	12
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	2	12	15	12
Tue May 13 19:55:10 2014	1399982110	3	12	15	12
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	1	13	15	13
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	0	15	15	15
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	0	15	15	15
Tue May 13 19:55:10 2014	1399982110	3	12	15	12
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	1	14	15	14
Tue May 13 19:55:10 2014	1399982110	3	13	15	12
Tue May 13 19:55:10 2014	1399982110	2	14	15	14
Tue May 13 19:55:10 2014	1399982110	2	13	15	13
Tue May 13 19:55:10 2014	1399982110	1	15	15	14
Tue May 13 19:55:10 2014	1399982110	0	15	15	15
Tue May 13 19:55:10 2014	1399982110	0	15	15	15
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	0	15	16	15
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	3	13	16	13
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	0	15	16	15
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	0	15	16	15
Tue May 13 19:55:10 2014	1399982110	2	13	16	13
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	0	16	16	15
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	3	13	16	13
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	2	15	16	15
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	3	13	16	13
Tue May 13 19:55:10 2014	1399982110	2	15	16	15
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	2	14	16	14
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	1	15	16	15
Tue May 13 19:55:10 2014	1399982110	1	16	16	16
Tue May 13 19:55:10 2014	1399982110	1	16	16	16
Tue May 13 19:55:10 2014	1399982110	2	15	16	15
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	0	16	16	16
Tue May 13 19:55:10 2014	1399982110	3	14	16	13
Tue May 13 19:55:10 2014	1399982110	1	16	16	15
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	2	14	17	14
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	0	16	17	16
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	0	16	17	16
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	3	14	17	14
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	0	16	17	16
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	3	14	17	14
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	1	17	17	16
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	1	16	17	16
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	2	16	17	16
Tue May 13 19:55:10 2014	1399982110	2	16	17	16
Tue May 13 19:55:10 2014	1399982110	1	17	17	16
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	0	17	17	17
Tue May 13 19:55:10 2014	1399982110	1	17	17	16
Tue May 13 19:55:10 2014	1399982110	3	14	17	14
Tue May 13 19:55:10 2014	1399982110	2	16	17	15
Tue May 13 19:55:10 2014	1399982110	2	15	17	15
Tue May 13 19:55:10 2014	1399982110	3	14	18	14
Tue May 13 19:55:10 2014	1399982110	0	17	18	17
Tue May 13 19:55:10 2014	1399982110	2	16	18	16
Tue May 13 19:55:10 2014	1399982110	1	17	18	17
Tue May 13 19:55:10 2014	1399982110	1	17	18	17
Tue May 13 19:55:10 2014	1399982110	2	16	18	16
Tue May 13 19:55:10 2014	1399982110	1	17	18	17
Tue May 13 19:55:10 2014	1399982110	2	16	18	16
Tue May 13 19:55:10 2014	1399982110	1	17	18	17
Tue May 13 19:55:10 2014	1399982110	0	17	18	17
Tue May 13 19:55:10 2014	1399982110	0	17	18	17
Tue May 13 19:55:10 2014	1399982110	3	15	18	15
