starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	1	1
Tue May 13 19:52:39 2014	1399981959	0	1	2	1
Tue May 13 19:52:39 2014	1399981959	0	1	2	1
Tue May 13 19:52:38 2014	1399981958	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	1	2	1
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:38 2014	1399981958	0	2	2	2
Tue May 13 19:52:38 2014	1399981958	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	1
Tue May 13 19:52:38 2014	1399981958	0	2	2	2
Tue May 13 19:52:38 2014	1399981958	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	1	2	2	1
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	0	2	2	2
Tue May 13 19:52:39 2014	1399981959	1	2	3	1
Tue May 13 19:52:39 2014	1399981959	0	3	3	3
Tue May 13 19:52:39 2014	1399981959	1	2	3	2
Tue May 13 19:52:39 2014	1399981959	0	3	3	3
Tue May 13 19:52:39 2014	1399981959	2	1	3	1
Tue May 13 19:52:39 2014	1399981959	1	2	3	2
Tue May 13 19:52:39 2014	1399981959	0	3	3	3
Tue May 13 19:52:39 2014	1399981959	1	2	3	2
Tue May 13 19:52:39 2014	1399981959	2	2	3	2
Tue May 13 19:52:39 2014	1399981959	1	2	3	2
Tue May 13 19:52:39 2014	1399981959	0	3	3	3
Tue May 13 19:52:39 2014	1399981959	1	2	4	2
Tue May 13 19:52:39 2014	1399981959	2	2	4	2
Tue May 13 19:52:39 2014	1399981959	1	3	4	2
Tue May 13 19:52:39 2014	1399981959	1	2	4	2
Tue May 13 19:52:39 2014	1399981959	0	4	4	4
Tue May 13 19:52:39 2014	1399981959	1	3	4	3
Tue May 13 19:52:39 2014	1399981959	1	3	4	2
Tue May 13 19:52:39 2014	1399981959	1	3	4	3
Tue May 13 19:52:39 2014	1399981959	0	4	4	4
Tue May 13 19:52:39 2014	1399981959	1	3	4	2
Tue May 13 19:52:39 2014	1399981959	1	3	4	3
Tue May 13 19:52:39 2014	1399981959	1	3	4	2
Tue May 13 19:52:39 2014	1399981959	0	5	5	5
Tue May 13 19:52:39 2014	1399981959	1	3	5	3
Tue May 13 19:52:39 2014	1399981959	1	4	5	3
Tue May 13 19:52:39 2014	1399981959	1	3	5	3
Tue May 13 19:52:39 2014	1399981959	0	5	5	5
Tue May 13 19:52:39 2014	1399981959	1	4	5	3
Tue May 13 19:52:39 2014	1399981959	0	5	5	5
Tue May 13 19:52:39 2014	1399981959	1	4	5	3
Tue May 13 19:52:39 2014	1399981959	2	4	5	3
Tue May 13 19:52:39 2014	1399981959	0	5	5	5
Tue May 13 19:52:39 2014	1399981959	0	5	5	5
Tue May 13 19:52:39 2014	1399981959	1	4	5	4
Tue May 13 19:52:39 2014	1399981959	2	3	5	2
Tue May 13 19:52:39 2014	1399981959	2	4	6	3
Tue May 13 19:52:39 2014	1399981959	0	5	6	5
Tue May 13 19:52:39 2014	1399981959	2	4	6	3
Tue May 13 19:52:39 2014	1399981959	0	5	6	5
Tue May 13 19:52:39 2014	1399981959	1	4	6	4
Tue May 13 19:52:39 2014	1399981959	2	3	6	3
Tue May 13 19:52:39 2014	1399981959	0	5	6	5
Tue May 13 19:52:39 2014	1399981959	2	4	6	3
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	1	5	6	4
Tue May 13 19:52:39 2014	1399981959	0	6	6	5
Tue May 13 19:52:39 2014	1399981959	3	3	6	2
Tue May 13 19:52:39 2014	1399981959	2	4	6	4
Tue May 13 19:52:39 2014	1399981959	2	5	6	4
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	2	4	6	3
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	1	6	6	5
Tue May 13 19:52:39 2014	1399981959	2	5	6	4
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	1	5	6	5
Tue May 13 19:52:39 2014	1399981959	3	4	6	3
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	3	4	6	4
Tue May 13 19:52:39 2014	1399981959	1	6	6	6
Tue May 13 19:52:39 2014	1399981959	3	3	6	2
Tue May 13 19:52:39 2014	1399981959	0	6	6	6
Tue May 13 19:52:39 2014	1399981959	3	4	6	3
Tue May 13 19:52:39 2014	1399981959	2	4	6	4
Tue May 13 19:52:39 2014	1399981959	3	3	6	3
Tue May 13 19:52:39 2014	1399981959	2	4	6	4
Tue May 13 19:52:39 2014	1399981959	1	5	7	5
Tue May 13 19:52:39 2014	1399981959	2	5	7	5
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	3	4	7	3
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	3	4	7	4
Tue May 13 19:52:39 2014	1399981959	3	4	7	3
Tue May 13 19:52:39 2014	1399981959	2	5	7	4
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	2	4	7	4
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	1	5	7	5
Tue May 13 19:52:39 2014	1399981959	3	4	7	4
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	2	5	7	4
Tue May 13 19:52:39 2014	1399981959	3	4	7	4
Tue May 13 19:52:39 2014	1399981959	2	5	7	4
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	0	6	7	6
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	2	4	7	4
Tue May 13 19:52:39 2014	1399981959	2	5	7	4
Tue May 13 19:52:39 2014	1399981959	3	4	7	4
Tue May 13 19:52:39 2014	1399981959	1	6	7	6
Tue May 13 19:52:39 2014	1399981959	2	5	7	4
Tue May 13 19:52:39 2014	1399981959	2	6	7	5
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	3	4	7	4
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	3	4	7	3
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	2	6	7	6
Tue May 13 19:52:39 2014	1399981959	1	7	7	7
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	3	5	7	5
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	1	6	7	6
Tue May 13 19:52:39 2014	1399981959	3	5	7	4
Tue May 13 19:52:39 2014	1399981959	0	7	7	7
Tue May 13 19:52:39 2014	1399981959	0	7	8	7
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	2	6	8	6
Tue May 13 19:52:39 2014	1399981959	0	7	8	7
Tue May 13 19:52:39 2014	1399981959	0	7	8	7
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	3	5	8	5
Tue May 13 19:52:39 2014	1399981959	0	7	8	7
Tue May 13 19:52:39 2014	1399981959	1	7	8	7
Tue May 13 19:52:39 2014	1399981959	1	6	8	6
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	2	6	8	6
Tue May 13 19:52:39 2014	1399981959	1	7	8	6
Tue May 13 19:52:39 2014	1399981959	0	8	8	7
Tue May 13 19:52:39 2014	1399981959	0	8	8	7
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	1	7	8	7
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	2	6	8	6
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	3	5	8	5
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	3	6	8	4
Tue May 13 19:52:39 2014	1399981959	1	7	8	6
Tue May 13 19:52:39 2014	1399981959	3	5	8	4
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	2	7	8	7
Tue May 13 19:52:39 2014	1399981959	1	8	8	8
Tue May 13 19:52:39 2014	1399981959	3	6	8	4
Tue May 13 19:52:39 2014	1399981959	1	8	8	8
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	0	8	8	8
Tue May 13 19:52:39 2014	1399981959	0	8	9	8
Tue May 13 19:52:39 2014	1399981959	1	7	9	6
Tue May 13 19:52:39 2014	1399981959	3	6	9	4
Tue May 13 19:52:39 2014	1399981959	0	8	9	8
Tue May 13 19:52:39 2014	1399981959	1	8	9	8
Tue May 13 19:52:39 2014	1399981959	3	6	9	5
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	3	6	9	5
Tue May 13 19:52:39 2014	1399981959	0	8	9	8
Tue May 13 19:52:39 2014	1399981959	1	8	9	8
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	0	8	9	8
Tue May 13 19:52:39 2014	1399981959	3	6	9	6
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	1	8	9	8
Tue May 13 19:52:39 2014	1399981959	1	8	9	8
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	1	8	9	7
Tue May 13 19:52:39 2014	1399981959	1	8	9	8
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	3	6	9	6
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	3	6	9	5
Tue May 13 19:52:39 2014	1399981959	3	6	9	6
Tue May 13 19:52:39 2014	1399981959	2	8	9	8
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	3	6	9	6
Tue May 13 19:52:39 2014	1399981959	3	7	9	6
Tue May 13 19:52:39 2014	1399981959	0	9	9	9
Tue May 13 19:52:39 2014	1399981959	2	8	10	8
Tue May 13 19:52:39 2014	1399981959	0	9	10	9
Tue May 13 19:52:39 2014	1399981959	0	9	10	9
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	1	8	10	8
Tue May 13 19:52:39 2014	1399981959	1	9	10	9
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	0	10	10	9
Tue May 13 19:52:39 2014	1399981959	2	7	10	7
Tue May 13 19:52:39 2014	1399981959	1	9	10	9
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	1	9	10	9
Tue May 13 19:52:39 2014	1399981959	0	10	10	9
Tue May 13 19:52:39 2014	1399981959	0	9	10	9
Tue May 13 19:52:39 2014	1399981959	2	8	10	8
Tue May 13 19:52:39 2014	1399981959	0	10	10	9
Tue May 13 19:52:39 2014	1399981959	1	9	10	8
Tue May 13 19:52:39 2014	1399981959	3	7	10	7
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	1	9	10	9
Tue May 13 19:52:39 2014	1399981959	2	8	10	8
Tue May 13 19:52:39 2014	1399981959	1	9	10	9
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	3	7	10	7
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	1	9	10	8
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	3	8	10	7
Tue May 13 19:52:39 2014	1399981959	0	10	10	9
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	2	8	10	8
Tue May 13 19:52:39 2014	1399981959	3	8	10	7
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	3	7	10	6
Tue May 13 19:52:39 2014	1399981959	1	9	10	8
Tue May 13 19:52:39 2014	1399981959	1	10	10	9
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	3	7	10	7
Tue May 13 19:52:39 2014	1399981959	3	8	10	7
Tue May 13 19:52:39 2014	1399981959	2	9	10	9
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	0	10	10	10
Tue May 13 19:52:39 2014	1399981959	3	7	11	7
Tue May 13 19:52:39 2014	1399981959	3	8	11	8
Tue May 13 19:52:39 2014	1399981959	1	10	11	10
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	0	10	11	10
Tue May 13 19:52:39 2014	1399981959	0	10	11	10
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	0	11	11	10
Tue May 13 19:52:39 2014	1399981959	0	10	11	10
Tue May 13 19:52:39 2014	1399981959	1	10	11	10
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	2	8	11	8
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	2	9	11	9
Tue May 13 19:52:39 2014	1399981959	3	8	11	8
Tue May 13 19:52:39 2014	1399981959	0	11	11	10
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	3	8	11	8
Tue May 13 19:52:39 2014	1399981959	2	9	11	9
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	2	9	11	9
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	1	10	11	10
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	3	9	11	8
Tue May 13 19:52:39 2014	1399981959	1	11	11	10
Tue May 13 19:52:39 2014	1399981959	1	10	11	9
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	3	8	11	7
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	2	9	11	9
Tue May 13 19:52:39 2014	1399981959	3	9	11	8
Tue May 13 19:52:39 2014	1399981959	1	11	11	10
Tue May 13 19:52:39 2014	1399981959	0	11	11	11
Tue May 13 19:52:39 2014	1399981959	1	10	11	9
Tue May 13 19:52:39 2014	1399981959	1	10	11	10
Tue May 13 19:52:39 2014	1399981959	3	8	12	8
Tue May 13 19:52:39 2014	1399981959	3	9	12	8
Tue May 13 19:52:39 2014	1399981959	3	9	12	8
Tue May 13 19:52:39 2014	1399981959	1	11	12	11
Tue May 13 19:52:39 2014	1399981959	0	12	12	11
Tue May 13 19:52:39 2014	1399981959	0	11	12	11
Tue May 13 19:52:39 2014	1399981959	0	12	12	11
Tue May 13 19:52:39 2014	1399981959	3	8	12	8
Tue May 13 19:52:39 2014	1399981959	3	9	12	8
Tue May 13 19:52:39 2014	1399981959	0	12	12	11
Tue May 13 19:52:39 2014	1399981959	0	12	12	11
Tue May 13 19:52:39 2014	1399981959	1	11	12	10
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	1	11	12	11
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	3	9	12	8
Tue May 13 19:52:39 2014	1399981959	1	11	12	10
Tue May 13 19:52:39 2014	1399981959	0	12	12	11
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	1	11	12	11
Tue May 13 19:52:39 2014	1399981959	3	9	12	8
Tue May 13 19:52:39 2014	1399981959	1	11	12	11
Tue May 13 19:52:39 2014	1399981959	1	11	12	11
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	3	9	12	9
Tue May 13 19:52:39 2014	1399981959	3	10	12	9
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	2	11	12	10
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	1	12	12	12
Tue May 13 19:52:39 2014	1399981959	3	9	12	9
Tue May 13 19:52:39 2014	1399981959	3	9	12	9
Tue May 13 19:52:39 2014	1399981959	0	12	12	12
Tue May 13 19:52:39 2014	1399981959	1	11	13	11
Tue May 13 19:52:39 2014	1399981959	2	11	13	11
Tue May 13 19:52:39 2014	1399981959	0	12	13	12
Tue May 13 19:52:39 2014	1399981959	1	11	13	11
Tue May 13 19:52:39 2014	1399981959	0	12	13	12
Tue May 13 19:52:39 2014	1399981959	3	9	13	9
Tue May 13 19:52:39 2014	1399981959	1	12	13	12
Tue May 13 19:52:39 2014	1399981959	3	9	13	9
Tue May 13 19:52:39 2014	1399981959	0	12	13	12
Tue May 13 19:52:39 2014	1399981959	0	13	13	12
Tue May 13 19:52:39 2014	1399981959	0	12	13	12
Tue May 13 19:52:39 2014	1399981959	0	12	13	12
Tue May 13 19:52:39 2014	1399981959	0	13	13	12
