starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:50:07 2014	1399981807	0	1	1	1
Tue May 13 19:50:07 2014	1399981807	0	1	1	1
Tue May 13 19:50:07 2014	1399981807	0	1	1	1
Tue May 13 19:50:07 2014	1399981807	0	1	1	1
Tue May 13 19:50:07 2014	1399981807	0	1	1	1
Tue May 13 19:50:07 2014	1399981807	0	1	1	1
Tue May 13 19:50:07 2014	1399981807	0	1	2	1
Tue May 13 19:50:07 2014	1399981807	0	1	2	1
Tue May 13 19:50:06 2014	1399981806	0	1	2	1
Tue May 13 19:50:07 2014	1399981807	0	1	2	1
Tue May 13 19:50:07 2014	1399981807	0	1	2	1
Tue May 13 19:50:07 2014	1399981807	0	1	2	1
Tue May 13 19:50:07 2014	1399981807	0	1	2	1
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:07 2014	1399981807	0	2	2	2
Tue May 13 19:50:06 2014	1399981806	0	2	3	2
Tue May 13 19:50:07 2014	1399981807	0	2	3	2
Tue May 13 19:50:07 2014	1399981807	0	3	3	2
