starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:41:49 2014	1399981309	0	1	1	1
Tue May 13 19:41:49 2014	1399981309	0	3	3	3
Tue May 13 19:41:49 2014	1399981309	0	4	4	4
Tue May 13 19:41:49 2014	1399981309	0	5	5	5
Tue May 13 19:41:49 2014	1399981309	0	6	7	6
Tue May 13 19:41:49 2014	1399981309	0	8	8	8
Tue May 13 19:41:49 2014	1399981309	0	9	9	9
Tue May 13 19:41:49 2014	1399981309	0	10	10	10
Tue May 13 19:41:49 2014	1399981309	0	11	11	11
Tue May 13 19:41:49 2014	1399981309	0	12	12	12
Tue May 13 19:41:49 2014	1399981309	0	13	14	13
Tue May 13 19:41:49 2014	1399981309	0	15	15	15
Tue May 13 19:41:49 2014	1399981309	0	16	16	16
Tue May 13 19:41:49 2014	1399981309	0	17	17	17
Tue May 13 19:41:49 2014	1399981309	0	18	19	18
Tue May 13 19:41:49 2014	1399981309	0	20	20	20
Tue May 13 19:41:49 2014	1399981309	0	21	21	21
Tue May 13 19:41:49 2014	1399981309	0	23	23	22
Tue May 13 19:41:49 2014	1399981309	0	23	23	23
Tue May 13 19:41:49 2014	1399981309	0	24	24	24
Tue May 13 19:41:49 2014	1399981309	0	24	24	24
Tue May 13 19:41:49 2014	1399981309	0	24	25	24
Tue May 13 19:41:49 2014	1399981309	0	24	25	24
Tue May 13 19:41:49 2014	1399981309	0	25	25	25
Tue May 13 19:41:49 2014	1399981309	0	25	25	25
Tue May 13 19:41:49 2014	1399981309	0	25	26	25
Tue May 13 19:41:49 2014	1399981309	0	25	26	25
Tue May 13 19:41:49 2014	1399981309	0	26	26	26
Tue May 13 19:41:49 2014	1399981309	0	26	26	26
Tue May 13 19:41:49 2014	1399981309	0	26	27	26
Tue May 13 19:41:49 2014	1399981309	0	27	27	27
Tue May 13 19:41:49 2014	1399981309	0	27	27	27
Tue May 13 19:41:49 2014	1399981309	1	27	27	26
Tue May 13 19:41:49 2014	1399981309	1	27	28	27
Tue May 13 19:41:49 2014	1399981309	0	28	28	28
Tue May 13 19:41:49 2014	1399981309	0	28	28	28
Tue May 13 19:41:49 2014	1399981309	1	28	28	27
Tue May 13 19:41:49 2014	1399981309	1	28	29	28
Tue May 13 19:41:49 2014	1399981309	0	29	29	29
Tue May 13 19:41:49 2014	1399981309	1	28	29	28
Tue May 13 19:41:49 2014	1399981309	0	29	29	29
Tue May 13 19:41:49 2014	1399981309	0	29	29	29
Tue May 13 19:41:49 2014	1399981309	1	29	29	29
Tue May 13 19:41:49 2014	1399981309	1	29	30	29
Tue May 13 19:41:49 2014	1399981309	0	30	30	30
Tue May 13 19:41:49 2014	1399981309	1	30	31	30
Tue May 13 19:41:49 2014	1399981309	0	30	31	30
Tue May 13 19:41:49 2014	1399981309	0	31	31	31
Tue May 13 19:41:49 2014	1399981309	1	31	31	30
Tue May 13 19:41:49 2014	1399981309	0	31	32	31
Tue May 13 19:41:49 2014	1399981309	1	31	32	31
Tue May 13 19:41:49 2014	1399981309	0	32	32	31
Tue May 13 19:41:49 2014	1399981309	1	31	32	31
Tue May 13 19:41:49 2014	1399981309	0	32	32	32
Tue May 13 19:41:49 2014	1399981309	1	32	33	32
Tue May 13 19:41:49 2014	1399981309	0	32	33	32
Tue May 13 19:41:49 2014	1399981309	1	32	33	32
Tue May 13 19:41:49 2014	1399981309	0	33	33	33
Tue May 13 19:41:49 2014	1399981309	1	33	33	33
Tue May 13 19:41:49 2014	1399981309	0	34	34	34
Tue May 13 19:41:49 2014	1399981309	0	34	34	34
Tue May 13 19:41:49 2014	1399981309	1	33	34	33
Tue May 13 19:41:49 2014	1399981309	1	34	34	34
Tue May 13 19:41:49 2014	1399981309	0	35	35	35
Tue May 13 19:41:49 2014	1399981309	1	34	35	34
Tue May 13 19:41:49 2014	1399981309	0	35	35	35
Tue May 13 19:41:49 2014	1399981309	0	35	35	35
Tue May 13 19:41:49 2014	1399981309	1	35	36	35
Tue May 13 19:41:49 2014	1399981309	1	35	36	35
Tue May 13 19:41:49 2014	1399981309	0	36	36	36
Tue May 13 19:41:49 2014	1399981309	0	36	36	36
Tue May 13 19:41:49 2014	1399981309	1	36	37	36
Tue May 13 19:41:49 2014	1399981309	1	36	37	36
Tue May 13 19:41:49 2014	1399981309	0	37	37	37
Tue May 13 19:41:49 2014	1399981309	1	37	37	37
Tue May 13 19:41:49 2014	1399981309	0	38	38	38
Tue May 13 19:41:49 2014	1399981309	0	38	38	38
Tue May 13 19:41:49 2014	1399981309	1	37	38	37
Tue May 13 19:41:49 2014	1399981309	0	38	38	38
Tue May 13 19:41:49 2014	1399981309	0	38	38	38
Tue May 13 19:41:49 2014	1399981309	1	38	38	38
Tue May 13 19:41:49 2014	1399981309	0	39	39	39
Tue May 13 19:41:49 2014	1399981309	1	38	39	38
Tue May 13 19:41:49 2014	1399981309	0	39	39	39
Tue May 13 19:41:49 2014	1399981309	0	39	39	39
Tue May 13 19:41:49 2014	1399981309	1	39	39	39
Tue May 13 19:41:49 2014	1399981309	0	40	40	40
Tue May 13 19:41:49 2014	1399981309	1	39	40	39
Tue May 13 19:41:49 2014	1399981309	0	40	40	40
Tue May 13 19:41:49 2014	1399981309	0	40	40	40
Tue May 13 19:41:49 2014	1399981309	1	40	40	40
Tue May 13 19:41:49 2014	1399981309	0	40	40	40
Tue May 13 19:41:49 2014	1399981309	1	40	41	40
Tue May 13 19:41:49 2014	1399981309	0	41	41	41
Tue May 13 19:41:49 2014	1399981309	0	41	41	41
Tue May 13 19:41:49 2014	1399981309	0	41	41	41
Tue May 13 19:41:49 2014	1399981309	1	41	41	40
Tue May 13 19:41:49 2014	1399981309	0	42	42	41
Tue May 13 19:41:49 2014	1399981309	1	41	42	41
Tue May 13 19:41:49 2014	1399981309	0	42	42	42
Tue May 13 19:41:49 2014	1399981309	0	42	42	42
Tue May 13 19:41:49 2014	1399981309	1	42	42	42
Tue May 13 19:41:49 2014	1399981309	0	42	42	42
Tue May 13 19:41:49 2014	1399981309	0	43	43	42
Tue May 13 19:41:49 2014	1399981309	1	42	43	42
Tue May 13 19:41:49 2014	1399981309	0	43	43	43
Tue May 13 19:41:49 2014	1399981309	0	43	43	43
Tue May 13 19:41:49 2014	1399981309	1	43	43	43
Tue May 13 19:41:49 2014	1399981309	0	43	44	43
Tue May 13 19:41:49 2014	1399981309	0	44	44	44
Tue May 13 19:41:49 2014	1399981309	1	43	44	43
Tue May 13 19:41:49 2014	1399981309	0	44	44	44
Tue May 13 19:41:49 2014	1399981309	0	44	44	44
Tue May 13 19:41:49 2014	1399981309	0	44	44	44
Tue May 13 19:41:49 2014	1399981309	0	44	45	44
Tue May 13 19:41:49 2014	1399981309	0	44	45	44
Tue May 13 19:41:49 2014	1399981309	0	45	45	44
Tue May 13 19:41:49 2014	1399981309	1	44	45	44
Tue May 13 19:41:49 2014	1399981309	0	45	45	45
Tue May 13 19:41:49 2014	1399981309	0	45	45	45
Tue May 13 19:41:49 2014	1399981309	1	45	45	45
Tue May 13 19:41:49 2014	1399981309	0	46	46	46
Tue May 13 19:41:49 2014	1399981309	0	46	46	46
Tue May 13 19:41:49 2014	1399981309	1	45	46	45
Tue May 13 19:41:49 2014	1399981309	0	46	46	46
Tue May 13 19:41:49 2014	1399981309	0	46	46	46
Tue May 13 19:41:49 2014	1399981309	0	46	46	46
Tue May 13 19:41:49 2014	1399981309	0	46	46	46
Tue May 13 19:41:49 2014	1399981309	0	47	47	46
Tue May 13 19:41:49 2014	1399981309	1	46	47	46
Tue May 13 19:41:49 2014	1399981309	0	47	47	46
Tue May 13 19:41:49 2014	1399981309	0	47	47	47
Tue May 13 19:41:49 2014	1399981309	1	47	47	47
Tue May 13 19:41:49 2014	1399981309	0	47	47	47
Tue May 13 19:41:49 2014	1399981309	0	47	47	47
Tue May 13 19:41:49 2014	1399981309	0	48	48	47
Tue May 13 19:41:49 2014	1399981309	1	47	48	47
Tue May 13 19:41:49 2014	1399981309	0	48	48	48
Tue May 13 19:41:49 2014	1399981309	0	48	48	48
Tue May 13 19:41:49 2014	1399981309	1	48	48	47
Tue May 13 19:41:49 2014	1399981309	0	48	48	48
Tue May 13 19:41:49 2014	1399981309	0	48	48	48
Tue May 13 19:41:49 2014	1399981309	0	49	49	48
Tue May 13 19:41:49 2014	1399981309	1	48	49	48
Tue May 13 19:41:49 2014	1399981309	0	49	49	49
Tue May 13 19:41:49 2014	1399981309	0	49	49	49
Tue May 13 19:41:49 2014	1399981309	0	49	49	49
Tue May 13 19:41:49 2014	1399981309	1	49	49	49
Tue May 13 19:41:49 2014	1399981309	0	49	49	49
Tue May 13 19:41:49 2014	1399981309	0	49	50	49
Tue May 13 19:41:49 2014	1399981309	0	50	50	49
Tue May 13 19:41:49 2014	1399981309	1	49	50	49
Tue May 13 19:41:49 2014	1399981309	0	50	50	50
Tue May 13 19:41:49 2014	1399981309	0	50	50	50
Tue May 13 19:41:49 2014	1399981309	1	50	50	50
Tue May 13 19:41:49 2014	1399981309	0	50	50	50
Tue May 13 19:41:49 2014	1399981309	0	50	50	50
Tue May 13 19:41:49 2014	1399981309	0	50	50	50
Tue May 13 19:41:49 2014	1399981309	1	50	51	50
Tue May 13 19:41:49 2014	1399981309	0	51	51	50
Tue May 13 19:41:49 2014	1399981309	0	51	51	51
Tue May 13 19:41:49 2014	1399981309	0	51	51	51
Tue May 13 19:41:49 2014	1399981309	0	51	51	51
