starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:40:40 2014	1399981240	0	1	1	1
Tue May 13 19:40:40 2014	1399981240	0	1	1	1
Tue May 13 19:40:40 2014	1399981240	0	1	1	1
Tue May 13 19:40:40 2014	1399981240	0	2	2	2
Tue May 13 19:40:40 2014	1399981240	0	2	2	2
Tue May 13 19:40:40 2014	1399981240	0	2	2	2
Tue May 13 19:40:40 2014	1399981240	0	2	2	2
Tue May 13 19:40:40 2014	1399981240	0	2	2	2
Tue May 13 19:40:40 2014	1399981240	0	3	3	3
Tue May 13 19:40:40 2014	1399981240	0	3	3	3
Tue May 13 19:40:40 2014	1399981240	0	3	3	3
Tue May 13 19:40:40 2014	1399981240	0	3	3	3
Tue May 13 19:40:40 2014	1399981240	0	3	3	3
Tue May 13 19:40:40 2014	1399981240	0	3	4	3
Tue May 13 19:40:40 2014	1399981240	0	4	4	4
Tue May 13 19:40:40 2014	1399981240	0	4	4	4
Tue May 13 19:40:40 2014	1399981240	0	4	4	4
Tue May 13 19:40:40 2014	1399981240	0	4	4	4
Tue May 13 19:40:40 2014	1399981240	0	4	4	4
Tue May 13 19:40:40 2014	1399981240	0	4	5	4
Tue May 13 19:40:40 2014	1399981240	0	4	5	4
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:39 2014	1399981239	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	5	5
Tue May 13 19:40:40 2014	1399981240	0	5	6	5
Tue May 13 19:40:40 2014	1399981240	0	5	6	5
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:40 2014	1399981240	0	6	6	6
Tue May 13 19:40:39 2014	1399981239	0	6	7	6
Tue May 13 19:40:40 2014	1399981240	0	7	7	6
Tue May 13 19:40:40 2014	1399981240	0	6	7	6
Tue May 13 19:40:40 2014	1399981240	0	6	7	6
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	7	7
Tue May 13 19:40:40 2014	1399981240	0	7	8	7
Tue May 13 19:40:40 2014	1399981240	0	7	8	7
Tue May 13 19:40:40 2014	1399981240	0	8	8	7
Tue May 13 19:40:39 2014	1399981239	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	7
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	8	8
Tue May 13 19:40:40 2014	1399981240	0	8	9	8
Tue May 13 19:40:40 2014	1399981240	0	8	9	8
Tue May 13 19:40:40 2014	1399981240	0	9	9	8
Tue May 13 19:40:40 2014	1399981240	0	8	9	8
Tue May 13 19:40:40 2014	1399981240	0	9	9	8
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	8
Tue May 13 19:40:39 2014	1399981239	0	9	9	9
Tue May 13 19:40:39 2014	1399981239	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:39 2014	1399981239	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	9	9
Tue May 13 19:40:40 2014	1399981240	0	9	10	9
Tue May 13 19:40:40 2014	1399981240	0	10	10	9
Tue May 13 19:40:40 2014	1399981240	0	10	10	10
Tue May 13 19:40:40 2014	1399981240	0	9	10	9
Tue May 13 19:40:40 2014	1399981240	0	10	10	10
Tue May 13 19:40:40 2014	1399981240	0	10	10	9
Tue May 13 19:40:39 2014	1399981239	0	10	10	10
Tue May 13 19:40:40 2014	1399981240	0	10	10	10
Tue May 13 19:40:40 2014	1399981240	0	10	10	10
Tue May 13 19:40:40 2014	1399981240	0	10	10	10
