starttime	seconds	ctime	dtime	ttime	wait
Tue May 13 19:41:17 2014	1399981277	0	1	1	1
Tue May 13 19:41:17 2014	1399981277	0	2	2	1
Tue May 13 19:41:17 2014	1399981277	0	2	2	2
Tue May 13 19:41:17 2014	1399981277	0	2	2	2
Tue May 13 19:41:16 2014	1399981276	0	2	2	2
Tue May 13 19:41:17 2014	1399981277	0	3	3	2
Tue May 13 19:41:17 2014	1399981277	0	3	4	3
Tue May 13 19:41:16 2014	1399981276	0	20	20	20
Tue May 13 19:41:16 2014	1399981276	0	20	20	20
Tue May 13 19:41:16 2014	1399981276	0	21	21	21
Tue May 13 19:41:16 2014	1399981276	0	22	22	21
Tue May 13 19:41:16 2014	1399981276	0	22	22	22
Tue May 13 19:41:16 2014	1399981276	0	23	23	23
Tue May 13 19:41:16 2014	1399981276	0	23	24	23
Tue May 13 19:41:16 2014	1399981276	0	24	24	24
Tue May 13 19:41:16 2014	1399981276	0	25	25	24
Tue May 13 19:41:16 2014	1399981276	0	25	25	25
Tue May 13 19:41:16 2014	1399981276	0	26	26	26
Tue May 13 19:41:16 2014	1399981276	0	26	26	26
Tue May 13 19:41:16 2014	1399981276	0	27	27	27
Tue May 13 19:41:17 2014	1399981277	1	26	27	26
Tue May 13 19:41:17 2014	1399981277	1	27	28	27
Tue May 13 19:41:16 2014	1399981276	0	27	28	27
Tue May 13 19:41:17 2014	1399981277	1	27	28	27
Tue May 13 19:41:16 2014	1399981276	0	28	28	28
Tue May 13 19:41:17 2014	1399981277	1	28	29	28
Tue May 13 19:41:16 2014	1399981276	0	29	29	29
Tue May 13 19:41:17 2014	1399981277	1	28	29	28
Tue May 13 19:41:16 2014	1399981276	0	29	29	29
Tue May 13 19:41:17 2014	1399981277	1	29	30	29
Tue May 13 19:41:16 2014	1399981276	0	30	30	30
Tue May 13 19:41:17 2014	1399981277	1	29	30	29
Tue May 13 19:41:16 2014	1399981276	0	30	30	30
Tue May 13 19:41:17 2014	1399981277	1	30	31	30
Tue May 13 19:41:17 2014	1399981277	1	30	31	30
Tue May 13 19:41:16 2014	1399981276	0	31	31	31
Tue May 13 19:41:17 2014	1399981277	1	31	31	31
Tue May 13 19:41:16 2014	1399981276	0	32	32	31
Tue May 13 19:41:17 2014	1399981277	1	31	32	31
Tue May 13 19:41:17 2014	1399981277	1	32	32	31
Tue May 13 19:41:16 2014	1399981276	0	32	32	32
Tue May 13 19:41:17 2014	1399981277	1	32	33	32
Tue May 13 19:41:16 2014	1399981276	0	33	33	33
Tue May 13 19:41:17 2014	1399981277	1	33	33	32
Tue May 13 19:41:16 2014	1399981276	0	34	34	33
Tue May 13 19:41:17 2014	1399981277	1	33	34	33
Tue May 13 19:41:16 2014	1399981276	0	34	34	34
Tue May 13 19:41:17 2014	1399981277	1	34	34	34
Tue May 13 19:41:16 2014	1399981276	0	35	35	34
Tue May 13 19:41:17 2014	1399981277	1	34	35	34
Tue May 13 19:41:16 2014	1399981276	0	35	35	35
Tue May 13 19:41:16 2014	1399981276	0	36	36	35
Tue May 13 19:41:17 2014	1399981277	1	35	36	35
Tue May 13 19:41:16 2014	1399981276	0	36	36	36
Tue May 13 19:41:16 2014	1399981276	0	37	37	36
Tue May 13 19:41:17 2014	1399981277	1	36	37	36
Tue May 13 19:41:16 2014	1399981276	0	37	37	37
Tue May 13 19:41:17 2014	1399981277	1	37	38	37
Tue May 13 19:41:16 2014	1399981276	0	37	38	37
Tue May 13 19:41:16 2014	1399981276	0	38	38	38
Tue May 13 19:41:16 2014	1399981276	0	38	38	38
Tue May 13 19:41:16 2014	1399981276	0	38	38	38
Tue May 13 19:41:16 2014	1399981276	0	39	39	39
Tue May 13 19:41:16 2014	1399981276	0	39	39	39
Tue May 13 19:41:16 2014	1399981276	0	39	39	39
Tue May 13 19:41:16 2014	1399981276	0	39	40	39
Tue May 13 19:41:16 2014	1399981276	0	39	40	39
Tue May 13 19:41:16 2014	1399981276	0	40	40	40
Tue May 13 19:41:16 2014	1399981276	0	40	40	40
Tue May 13 19:41:16 2014	1399981276	0	40	40	40
Tue May 13 19:41:16 2014	1399981276	0	40	41	40
Tue May 13 19:41:17 2014	1399981277	1	40	41	40
Tue May 13 19:41:16 2014	1399981276	0	41	41	41
Tue May 13 19:41:16 2014	1399981276	0	41	41	41
Tue May 13 19:41:17 2014	1399981277	1	41	41	41
Tue May 13 19:41:16 2014	1399981276	1	41	42	41
Tue May 13 19:41:16 2014	1399981276	0	42	42	41
Tue May 13 19:41:17 2014	1399981277	1	41	42	41
Tue May 13 19:41:16 2014	1399981276	1	42	42	42
Tue May 13 19:41:16 2014	1399981276	0	42	42	42
Tue May 13 19:41:16 2014	1399981276	0	42	43	42
Tue May 13 19:41:16 2014	1399981276	0	42	43	42
Tue May 13 19:41:17 2014	1399981277	0	42	43	42
Tue May 13 19:41:16 2014	1399981276	0	43	43	43
Tue May 13 19:41:16 2014	1399981276	0	43	43	43
Tue May 13 19:41:17 2014	1399981277	1	43	43	43
Tue May 13 19:41:16 2014	1399981276	0	43	44	43
Tue May 13 19:41:16 2014	1399981276	0	44	44	44
Tue May 13 19:41:17 2014	1399981277	0	43	44	43
Tue May 13 19:41:16 2014	1399981276	0	44	44	44
Tue May 13 19:41:16 2014	1399981276	0	44	44	44
Tue May 13 19:41:17 2014	1399981277	1	44	44	44
Tue May 13 19:41:17 2014	1399981277	0	44	44	44
Tue May 13 19:41:16 2014	1399981276	0	44	45	44
Tue May 13 19:41:16 2014	1399981276	0	45	45	45
Tue May 13 19:41:17 2014	1399981277	0	44	45	44
Tue May 13 19:41:16 2014	1399981276	0	45	45	45
Tue May 13 19:41:17 2014	1399981277	0	45	45	45
Tue May 13 19:41:16 2014	1399981276	0	45	45	45
Tue May 13 19:41:17 2014	1399981277	1	45	45	45
Tue May 13 19:41:16 2014	1399981276	0	45	46	45
Tue May 13 19:41:16 2014	1399981276	0	46	46	46
Tue May 13 19:41:17 2014	1399981277	0	46	46	46
Tue May 13 19:41:17 2014	1399981277	0	46	46	46
Tue May 13 19:41:16 2014	1399981276	0	46	46	46
Tue May 13 19:41:16 2014	1399981276	0	46	46	46
Tue May 13 19:41:17 2014	1399981277	0	46	46	46
Tue May 13 19:41:16 2014	1399981276	1	46	47	46
Tue May 13 19:41:16 2014	1399981276	0	47	47	46
Tue May 13 19:41:17 2014	1399981277	0	47	47	47
Tue May 13 19:41:17 2014	1399981277	0	46	47	46
Tue May 13 19:41:16 2014	1399981276	0	47	47	47
Tue May 13 19:41:17 2014	1399981277	0	47	47	47
